,LR_13_4,Em,GPR_13_4,KNR_13_4,SVR_13_4,RF_13_4,XGB_13_4,LR_13_5,GPR_13_5,KNR_13_5,SVR_13_5,RF_13_5,XGB_13_5,LR_13_6,GPR_13_6,KNR_13_6,SVR_13_6,RF_13_6,XGB_13_6,LR_14_3,GPR_14_3,KNR_14_3,SVR_14_3,RF_14_3,XGB_14_3,LR_14_4,GPR_14_4,KNR_14_4,SVR_14_4,RF_14_4,XGB_14_4,LR_14_5,GPR_14_5,KNR_14_5,SVR_14_5,RF_14_5,XGB_14_5,LR_14_6,GPR_14_6,KNR_14_6,SVR_14_6,RF_14_6,XGB_14_6,LR_15_3,GPR_15_3,KNR_15_3,SVR_15_3,RF_15_3,XGB_15_3,LR_15_4,GPR_15_4,KNR_15_4,SVR_15_4,RF_15_4,XGB_15_4,LR_15_5,GPR_15_5,KNR_15_5,SVR_15_5,RF_15_5,XGB_15_5,LR_15_6,GPR_15_6,KNR_15_6,SVR_15_6,RF_15_6,XGB_15_6,LR_16_3,GPR_16_3,KNR_16_3,SVR_16_3,RF_16_3,XGB_16_3,LR_16_4,GPR_16_4,KNR_16_4,SVR_16_4,RF_16_4,XGB_16_4,LR_16_5,GPR_16_5,KNR_16_5,SVR_16_5,RF_16_5,XGB_16_5,LR_16_6,GPR_16_6,KNR_16_6,SVR_16_6,RF_16_6,XGB_16_6
1AHN_0,40.167782739960785,-343.5,139.2237975711523,35.47983835885275,108.09516786445815,39.93314410292536,38.88658142089844,60.64505295354318,149.17352191167507,34.27260273663325,87.24160241762951,43.902198084168525,31.309539794921875,46.08781993050957,93.60460015738,34.887541683048234,97.94400781709575,49.27048796399492,30.6176513671875,22.221221952180674,53.12580612635101,20.898165830453088,55.36627447932269,59.38957210817871,39.44977722167969,37.612689009035435,163.69143428235492,42.534683169117365,120.9653440771392,64.05795289088665,35.38453063964844,50.7345242508659,149.78406801908278,57.46475017611906,107.87634262906572,47.037168514929895,52.43745880126953,34.916643423556735,136.4865262382441,30.07879703927324,105.36085286739737,59.22214039072469,49.92928619384766,19.98227551373879,82.01316383267255,26.469437912315403,75.95261799464194,66.22184992282315,64.2873779296875,38.312216863584524,153.77013147217,50.537889023374866,101.2437514935701,62.58130910752957,45.1447998046875,47.82512534174177,142.29558003808455,57.857019675024375,101.29417208248037,52.27135081871565,37.42625427246094,23.7077564649895,145.17386537741214,38.2373129713413,100.50481709792447,64.79372660038993,58.16670227050781,24.466656286477097,73.24440209572658,31.36622353597561,79.4224876862875,62.595027935785744,53.443060302734374,29.27790325761118,155.24574220624908,48.53720094788971,105.25189066933395,65.53846333905847,50.61001129150391,27.43695613059554,157.93343583969306,40.93334638269294,114.82313983603771,53.07216413402408,53.139303588867186,29.969235192282373,129.86614599852584,47.192415702313106,102.70789969198522,66.7698223962456,74.27559509277344
1AKR_1,12.925567020233654,-310.5,11.874469499522206,4.377107107846195,8.40429027418599,12.91767744929469,8.132958984375,7.762465836383666,18.09441369093032,7.732354987137688,14.254221731190006,12.2537547856361,8.56124267578125,9.758421512800897,9.401466017691087,7.593873395974339,7.870002674061277,13.124304653978374,11.162518310546876,10.083805201542571,12.468020305342122,6.341497842826658,14.932936939020925,34.754292432834816,25.078106689453126,22.526209446080987,8.525722290233244,5.2185793497915025,9.643887259796122,21.373122804533455,15.5076904296875,21.941746120776987,15.737392850359436,8.959235135517883,19.85659753190813,23.119783364964256,12.35452880859375,29.577283440535446,8.708068835802669,5.936828471706531,8.225961227421147,21.135144728490133,25.23242950439453,10.413887846402343,13.589606620704563,6.167827134489602,15.020744525559792,30.19163910911925,33.380130004882815,19.824341175321713,7.108509109110514,4.403014651377572,8.954402305460984,18.18774420114021,8.3457763671875,17.629401761156203,14.080347212326075,7.609790528903886,15.99280508702601,18.436170476184394,11.033175659179687,22.123421338581142,8.658362265566694,4.950009577496752,8.522297829423042,20.560206212271112,13.653326416015625,10.097835073741635,9.02080461125584,4.2677147674266225,15.438359962212644,31.46817036850871,38.283757019042966,24.10975576847408,8.147653202219072,5.181566595179464,8.579163802585708,19.164303107113767,9.15438232421875,16.907748549747886,15.301687326502417,8.734825557656592,17.253603856901968,18.476218428533464,8.984722900390626,24.843367828376415,10.27525854627196,3.3530556563904894,7.626430461591423,19.366023572082998,15.6229248046875
1AKT_2,16.228426769594478,-297.5,9.111554917768235,15.810019785808327,18.921074374074845,5.509215913022723,9.249798583984376,13.498289043486608,10.079983866105556,8.945727414768731,12.648150217030423,3.2898317346191903,11.27252197265625,11.264115015827945,8.624082881004535,10.775664864374425,18.272605387433124,5.872291562594978,9.163217163085937,5.62125294352453,10.730838985591095,13.679262572455826,7.693740167098577,7.89017659572986,11.353445434570313,17.214681578195446,13.43638645270541,11.746960521172548,20.282861744116076,5.437787505951223,12.801568603515625,17.455314825630477,9.638053393660806,7.9010780791672515,11.342129177203645,9.603887353854038,13.628375244140624,10.91475202980086,8.75438049787246,9.357265587392618,14.807402573127552,8.298188164269954,14.398907470703126,8.873864955963933,14.434516252490146,11.762304181985257,11.865897157011602,8.927199527684104,8.736660766601563,20.768384971665693,10.457285533253383,12.59819615599145,16.150795691894764,9.57213901679611,12.244232177734375,26.639529222957332,13.034950906406488,9.386974368183752,14.295035742356935,9.690281741068713,19.33208312988281,15.883215194652456,7.3041085624070545,10.013932388576995,17.860819352682675,8.159995666985925,8.879550170898437,19.034249659035915,13.038819491536424,11.861180586612784,8.874237325045135,7.955841054180195,13.498194885253906,19.660988701243078,14.121649379647414,11.002298372096215,13.65296516690637,5.192339064480723,9.189212036132812,18.273543368614796,13.567037414213837,7.576981037295445,12.645071476388614,8.234319711571567,12.60511474609375,19.965597768648614,9.30090858891739,10.119213446737211,17.8568953790002,6.638744285221634,10.059539794921875
1AKW_3,11.136950418034644,-320.0,18.539782061892545,13.960990684128836,27.7169778439817,20.207249883037235,5.21182861328125,12.179773439825448,17.282687805969715,25.988387017457665,20.83895252339361,18.36950518049297,11.131167602539062,12.268534470845287,13.327518783349529,19.286789103029832,13.267140044259298,24.491477302798877,6.927432250976563,8.845967061924517,16.320631083417517,16.487266402622446,14.284843885351716,30.228327878918208,6.772320556640625,15.005377835912805,18.46561896858369,14.449200830495261,17.537924045079382,26.174522965546867,13.871173095703124,28.706319820123763,17.26459364967253,21.795365352737452,23.149275064532485,24.853539647855012,12.594271850585937,12.055340424103798,15.767750231279456,18.01132647388182,11.959703448411734,31.656949717561492,20.864971923828126,9.806352602114027,14.635459954627345,17.030881371581806,15.662493962420246,28.313361758489293,13.845416259765624,15.601756475234447,17.323316420848943,15.278688022706683,15.930226921952476,26.093146413921964,14.893270874023438,28.359601460523162,20.086396221191404,17.99894969753724,17.167917659605763,22.239876503679778,11.772198486328126,10.262413781745266,17.493824993020155,16.66940425755763,17.785640298702674,29.694040892548145,15.568521118164062,12.370154584360069,11.308956002086045,11.202081306465505,21.143828838664508,25.88217076937952,9.582345581054687,12.342489333293917,20.596774075221173,14.845127243590252,16.93131034707734,23.519495627087174,8.477603149414062,32.95539513363706,19.085062039468124,25.230983780702623,15.369123774818798,16.889294278923007,8.594537353515625,9.313405189960992,18.008348482658043,16.145398984082554,11.730689010571984,25.544761517768357,9.563140869140625
1AZL_4,14.617876903214295,-316.0,25.06739305994849,9.539627037144317,8.717863869499501,13.373334754434023,7.4544921875,16.857574601440696,27.51561430394532,20.029740382751235,9.917082212124665,19.053032798378013,9.1290283203125,9.089733466447944,9.280996756028793,15.671997315411819,7.308551040359475,15.382856967863995,7.852044677734375,9.343733269609896,17.045114081287686,11.933549170079385,10.043468121309923,28.066081673609396,16.441424560546874,15.09658488263604,30.712596006120812,9.55491749124667,10.743645878053552,20.85497503656946,14.49815673828125,13.978517277607216,38.66635643643387,15.119188555170627,13.854447558208966,28.393066576086902,17.429171752929687,16.305895050970673,20.004478101113868,14.509749371186047,6.40163936189357,24.00057913260884,17.188006591796874,7.120014781627532,16.489727444326526,10.315980488913704,6.947314683664177,22.727905369004173,11.1416259765625,19.18929328475989,16.348100157848855,11.314234748715347,8.44620038640304,20.606322046978157,15.008938598632813,21.139850850653737,33.966227880275724,18.904166906888765,9.609816782196953,24.651823544321434,16.023666381835938,19.91265993049757,19.265718835107368,17.763269549252215,8.134875562663899,23.79280708341822,11.680636596679687,7.448390169486532,15.801353093369404,7.419853636904333,10.265241995413817,24.365279852026692,12.405084228515625,14.571766530970029,25.232942017031625,13.369263910996562,9.901219539992956,20.037479241605773,11.655352783203124,20.21392295949077,34.54316574602876,13.052989708379329,11.64432443454491,20.747262849836012,13.773574829101562,17.259045853099924,18.460777262574403,11.146940925191814,6.674036906164946,22.450060527368144,21.636859130859374
1B1C_5,97.04931293933608,-167.5,49.74437645090975,24.134077513861552,22.400646101395733,28.53798725896712,11.12044677734375,79.51136765424991,31.249483660962277,16.477693077231844,22.96218858328809,36.32643858525978,12.913937377929688,80.8062245192088,45.009399012268446,20.81777374386238,15.131120773357157,32.145675518492055,12.549287414550781,39.57013839701777,28.03578656444528,21.08206719773127,12.495602877892683,38.956007476631704,9.063906860351562,104.21013170591243,24.002809926849686,17.179953858407185,21.513679120782683,36.0382407160132,10.235614013671874,86.57442181400278,29.987354149853537,26.69709388796212,21.616309222155476,33.45533588159892,12.707907104492188,84.48464300237436,28.147824712931957,21.119820112048316,21.347629403548275,42.35849948355571,11.574246215820313,35.28757175327552,19.041624518479956,20.55531891364803,11.771614350264278,42.1898231214567,11.096835327148437,104.79760537739517,32.83201651399657,14.513533187232728,17.295943518043398,40.21785437134048,13.093168640136719,63.88552373913031,29.807606926062714,16.71583067016238,26.434035665279158,35.526773436999136,13.519461059570313,76.19551814502512,30.16402616846466,16.500071073286406,26.592803942351555,42.56784842793812,11.501986694335937,34.29647038309427,20.232253538191486,17.857169910215624,11.086520636898683,37.66542780451052,11.196810913085937,100.11525039989701,26.75536791338908,18.0874867314319,19.270006887148075,38.30849863730194,11.545307922363282,59.32861023699568,29.5171674745092,22.072299187324578,29.544736261383708,34.67264965060497,10.778611755371093,71.89944024226739,29.123670728886754,19.413174514087935,22.431880231053686,42.34685514595979,10.387669372558594
1B1C_6,104.51706291243462,-167.5,57.879315889155464,23.87740194685165,19.23341639736348,28.45361787174578,6.745555114746094,56.1154329184316,25.560230083293497,20.530705303066863,30.280663741332443,38.0078069297827,7.698774719238282,79.16973143146629,34.6936094868366,17.590918330324392,19.118153735256733,38.53014071844721,7.672785949707031,24.56476025171715,24.210838626026835,24.2392663724565,10.695638921646164,41.92969676773531,4.109892272949219,102.29217761781744,28.932177892951625,18.297363644227225,19.24010553093995,34.41568436195115,6.063298034667969,77.69439780985915,21.5994959865362,25.588300657193706,18.700172959918447,40.40512313038856,9.375471496582032,77.47013796491854,25.79791956755845,21.777364241749538,24.302486679365575,43.92726484581183,5.309197998046875,24.83554579988381,15.021631727081546,14.524949117989689,6.218126650235021,44.042992714559716,5.599711608886719,103.38096593008558,26.783079154709434,16.14412673022091,19.262753777287564,41.48668661024563,6.54962158203125,61.0722307619039,24.46681284503653,12.410950970383137,18.5575802328328,34.94072353420747,7.653897094726562,70.32720378539257,21.926961731475323,16.9444541797162,19.934826824900238,50.24322638867721,7.370217895507812,23.141015012710316,14.186681823136112,19.14950998479502,7.015266465736571,41.50838716386487,5.925025939941406,97.40805622763227,22.088170813108402,14.984246786008251,16.15012290611125,41.474301803139454,7.361582946777344,53.47071471993112,27.135778855853744,19.73455222228925,28.588940027337117,41.28903674928145,9.082533264160157,66.0057469790599,21.759126137118326,17.826655907826922,17.857531149747366,45.21644098236414,5.393766784667969
1B1C_7,91.59948631738499,-187.5,44.18815811045664,13.430227939572717,17.20477138172678,4.782908481236012,5.041262817382813,61.99170061243044,21.38917167221408,12.484079384449979,29.892394267175444,11.306417743086095,4.867485046386719,63.251499953765105,27.326997462553766,14.246447193885023,12.974462354944256,7.101689369993219,4.67879638671875,26.30189867269676,4.9628609497853375,15.35259591313106,7.488595993608305,12.533976974152257,4.6103057861328125,90.80841909388448,17.338848185761695,11.912399958740048,17.043189909486784,7.652661715668563,6.164697265625,81.63910092164815,4.60392500410912,15.679718413129772,25.286745283564613,13.297422127805842,4.969369506835937,71.2606394290686,14.084765821993859,9.496156967339422,13.110578645769332,13.488128999346907,6.191352844238281,25.359089061871103,6.2467606512811695,9.911209717367232,7.137189228530721,14.206427578727872,4.618132019042969,89.2253461029161,9.196934420135765,9.066691446850077,12.224475729763586,11.064921592677965,8.2135986328125,72.32823077165567,3.9780859586268833,11.70423067399307,20.187631532774116,11.721984471432382,5.470335388183594,66.59564372283455,13.992318031364803,10.051047168949774,12.595823307661735,23.041414272681752,3.8551483154296875,28.207163332259388,6.010805860347557,5.540973449605469,7.530002226471282,10.695463571264415,5.884748840332032,81.33347100506438,6.438793818291336,8.58933311201145,11.877968298438356,10.15547787850257,5.233786010742188,65.05387682213572,5.591544797240251,17.10714894072818,19.943517161652707,15.806767621968996,7.030580139160156,56.71892811680398,13.911483044219711,10.480271822750902,15.612138132584708,17.923630979414423,7.633155822753906
1B1C_8,101.80298725723189,-192.0,28.9354167916316,14.553349139063737,23.971493899169907,7.550578369287732,9.83240966796875,75.52858987334596,19.010619681087356,11.599790390259184,18.849447754709534,11.965717193337493,8.817727661132812,75.67501688825419,16.78418775404077,17.910968679177138,7.314288531919726,13.645781903362774,9.451644897460938,36.23741168181671,9.561042445091198,14.153018658939164,8.683252452472294,14.169523706158179,7.795426940917968,114.79259737162678,9.065994289711668,14.858411672305417,20.39284925803172,11.796000429400063,10.362225341796876,90.13301430612134,11.512835589828512,17.985512182846776,17.933488726533895,14.028630981639163,5.986660766601562,87.37643906049773,16.11893098991235,13.285426292148012,19.883217947602926,15.706716965492394,8.358741760253906,37.49833444142043,11.788565227136681,9.254605261645802,6.921206162260324,15.602971522674114,8.982659912109375,118.03825109265986,11.434694199281285,11.199239774790746,15.863512289578662,16.657566240809114,9.632151794433593,86.49337463097056,14.062176093341714,13.015610324362672,17.85312686187695,12.378440121907193,5.128790283203125,82.33121674907389,12.737666125200047,12.152319587603397,21.92670254025513,18.89853136660344,9.18511505126953,43.97620565933184,8.302905276674869,10.879092840424793,8.64648144453956,12.256580101264632,9.865170288085938,106.4419385671169,10.874078704761956,11.83346079155444,17.06697473844409,11.527266537916157,6.386613464355468,79.4784727823233,12.684608003075729,14.860750434460996,17.427013786655912,14.238049046890064,7.069810485839843,79.77999894425508,13.573103886449164,11.201157790874968,19.34553690328718,20.11204790934211,9.282865905761719
1B4V_9,74.05046600421308,-131.0,86.28467413448818,60.56492274797779,41.47756817121672,35.89984182971053,45.91254501342773,80.52891175350803,84.72090163872232,109.8707827120307,41.833243980258224,40.30981667164984,68.77907638549804,92.25717420256687,90.79254645080049,79.06893246888606,69.3206274413784,49.79288913874719,76.73123092651367,57.86883267448418,116.118985206505,117.22447772334954,64.92378021790411,52.53093372440109,115.21743621826172,55.675277121488854,70.74203752986672,87.79109836594175,69.51884758003176,35.039503582933264,69.20638961791992,52.41811125014151,103.55651121047569,86.55043180781749,57.734925658681085,41.461377312824396,64.78995361328126,57.9370451789722,99.55237143439855,77.97133443219738,75.49464411728903,40.91330358378055,107.99418182373047,75.6824486185441,134.75274915518585,143.46434638688498,82.082742676875,55.810861021118924,110.22758102416992,50.49891398705573,79.20516367432563,95.0584065911812,69.93497910640319,33.718496295059296,55.34967956542969,47.676687509331444,114.39951123694473,94.15150063070499,68.3783105277791,36.378279551531065,67.36550521850586,51.79907209417585,101.99585586458292,101.93624512644904,71.55370538931744,37.175385358432564,76.08792572021484,69.39203426846103,133.56466156828856,138.8845964580392,69.92417140706925,49.74286524900994,88.93249893188477,45.459415563586276,79.48385218321945,81.53923400078675,75.19004802490946,32.73729918246829,62.82218780517578,67.97681845127754,113.7187601472544,95.00461722057855,61.96813759493334,35.47914745269891,63.71602172851563,39.860633833789414,100.30365689800968,96.40651393123957,65.32686407800561,38.519078294603034,63.79303207397461
